Status of existing checking account,Duration in months,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors / guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,Foreign worker
3,-0.738667542842371,4,4,-0.9404297111109204,0,4,0.9184771676276684,2,0,1.0469866784197936,0,1.798979491961302,2,1,-0.7049259983890862,2,-0.4282895663715403,0,0
3,0.2569530922366421,4,1,1.265625833413724,4,2,-0.8701833340815202,2,0,1.0469866784197936,1,0.919454953014738,2,1,1.0270789116578083,3,2.3348689263480744,1,0
1,1.2525737273156552,3,9,0.4195695055248541,0,2,-0.8701833340815202,0,0,-0.7659772668958666,0,-0.4877843092997643,1,1,1.0270789116578083,3,-0.4282895663715403,1,0
0,0.7547634097761486,2,6,3.093135857123407,0,1,-1.7645135849361149,0,0,-1.6724592395536968,3,-0.1359744937211387,2,1,-0.7049259983890862,1,-0.4282895663715403,1,0
3,1.2525737273156552,3,1,2.0117291305256098,4,3,0.0241469167730741,2,0,-0.7659772668958666,2,-0.3998318554051079,1,1,-0.7049259983890862,3,2.3348689263480744,1,0
3,1.2525737273156552,2,4,-0.3109382832388496,4,2,0.9184771676276684,1,0,1.0469866784197936,2,-0.9275465787730462,2,1,-0.7049259983890862,2,-0.4282895663715403,0,0
1,1.2525737273156552,2,1,2.1715830910944747,0,1,-1.7645135849361149,3,0,1.0469866784197936,2,-0.6636892170890771,2,0,-0.7049259983890862,3,-0.4282895663715403,1,0
0,1.2525737273156552,3,7,1.2815757851334555,0,2,0.9184771676276684,2,0,0.1405047057619635,1,-0.5757367631944207,1,1,-0.7049259983890862,2,-0.4282895663715403,1,0
3,-1.2364778603818776,2,0,-0.9212897690472428,0,0,-1.7645135849361149,1,0,1.0469866784197936,0,1.6230745841719891,2,1,-0.7049259983890862,0,-0.4282895663715403,1,0
1,-0.738667542842371,2,3,-0.1805031225086007,4,4,-1.7645135849361149,1,0,-0.7659772668958666,1,-0.9275465787730462,0,1,-0.7049259983890862,2,-0.4282895663715403,1,0
3,-0.738667542842371,4,3,0.8966502836306015,4,4,-0.8701833340815202,2,0,1.0469866784197936,1,1.1833123146987072,2,0,-0.7049259983890862,2,-0.4282895663715403,1,0
3,0.0080479334668887,4,3,-0.3485092806231061,0,1,0.9184771676276684,1,0,1.0469866784197936,1,-1.103451486562359,2,1,-0.7049259983890862,2,-0.4282895663715403,1,0
3,0.0080479334668887,3,3,-0.5955563105931699,1,3,0.9184771676276684,2,0,0.1405047057619635,0,-0.1359744937211387,2,1,1.0270789116578083,3,-0.4282895663715403,0,0
1,-0.2408572253028645,4,0,-0.7851835143722004,0,4,0.0241469167730741,2,2,0.1405047057619635,0,-0.4877843092997643,0,1,1.0270789116578083,2,-0.4282895663715403,0,0
3,-0.738667542842371,4,4,-0.7199659340070759,4,4,0.9184771676276684,1,0,-0.7659772668958666,0,0.2158353218574868,2,1,1.0270789116578083,2,-0.4282895663715403,1,0
3,1.2525737273156552,4,1,2.7585413143805946,4,2,0.9184771676276684,2,0,-0.7659772668958666,2,-0.4877843092997643,2,1,-0.7049259983890862,3,-0.4282895663715403,1,0
3,1.2525737273156552,2,0,-0.83728668998999,2,4,0.9184771676276684,2,0,1.0469866784197936,1,0.039930414068174,2,1,-0.7049259983890862,2,-0.4282895663715403,0,0
1,-1.1535094741252931,2,4,-0.3034949724363083,0,2,0.0241469167730741,2,2,-0.7659772668958666,0,-0.1359744937211387,2,1,-0.7049259983890862,2,-0.4282895663715403,0,0
3,0.2569530922366421,4,4,-0.3715480997738294,1,4,0.9184771676276684,2,0,1.0469866784197936,1,1.4471696763826765,0,1,1.0270789116578083,2,-0.4282895663715403,0,0
3,-1.2364778603818776,2,4,-0.4123090875020322,0,3,-0.8701833340815202,3,0,-0.7659772668958666,0,-0.5757367631944207,2,0,-0.7049259983890862,2,-0.4282895663715403,0,0
1,-0.4897623840726178,4,9,-0.3350404325042217,2,2,-0.8701833340815202,2,0,1.0469866784197936,2,-0.7516416709837335,0,1,-0.7049259983890862,2,-0.4282895663715403,0,0
3,-0.4897623840726178,4,4,-0.6380895151791207,0,2,0.9184771676276684,2,0,1.0469866784197936,3,-0.0480220398264823,2,2,1.0270789116578083,2,-0.4282895663715403,1,0
1,0.2569530922366421,4,9,-0.4736277907801112,0,4,0.9184771676276684,0,0,1.0469866784197936,0,-0.3998318554051079,2,1,1.0270789116578083,2,-0.4282895663715403,1,0
3,-0.4897623840726178,2,0,0.7275807954014474,2,4,-1.7645135849361149,1,0,1.0469866784197936,3,-0.0480220398264823,2,2,-0.7049259983890862,2,-0.4282895663715403,0,0
2,-1.2364778603818776,2,0,-0.908175364299908,3,1,-0.8701833340815202,3,0,-0.7659772668958666,0,-0.7516416709837335,2,1,-0.7049259983890862,0,-0.4282895663715403,0,1
1,-1.0705410878687087,2,4,-0.6582927873574473,0,2,0.9184771676276684,2,2,-0.7659772668958666,0,-0.2239269476157951,2,1,-0.7049259983890862,2,-0.4282895663715403,0,1
3,0.2569530922366421,2,3,-0.1546287563854807,2,4,0.0241469167730741,2,0,1.0469866784197936,1,1.5351221302773328,2,1,-0.7049259983890862,2,-0.4282895663715403,0,0
0,-0.6556991565857866,4,9,-0.5225409760539546,0,1,0.0241469167730741,2,0,-1.6724592395536968,1,-0.6636892170890771,0,1,1.0270789116578083,1,-0.4282895663715403,0,0
1,-0.738667542842371,2,9,-0.7919179384316425,1,3,0.0241469167730741,2,0,1.0469866784197936,0,0.3037877757521432,2,1,-0.7049259983890862,1,-0.4282895663715403,0,0
1,1.7503840448551615,4,9,0.9508801194776888,0,3,-0.8701833340815202,1,0,-1.6724592395536968,0,0.479692683541456,0,1,1.0270789116578083,1,-0.4282895663715403,0,0
3,1.2525737273156552,3,4,0.4192150621533045,0,2,0.9184771676276684,1,0,1.0469866784197936,0,-0.1359744937211387,2,1,1.0270789116578083,2,-0.4282895663715403,0,0
0,2.2481943623946683,2,5,-0.0780689881307694,0,2,0.0241469167730741,2,0,1.0469866784197936,2,1.6230745841719891,2,1,-0.7049259983890862,2,-0.4282895663715403,0,0
3,-0.738667542842371,4,4,-0.7018893220580468,0,2,0.9184771676276684,1,0,-0.7659772668958666,1,-0.0480220398264823,2,1,1.0270789116578083,2,-0.4282895663715403,0,0
1,2.2481943623946683,1,9,0.1044693482172691,1,3,0.9184771676276684,2,0,-0.7659772668958666,2,-0.4877843092997643,2,1,-0.7049259983890862,2,-0.4282895663715403,0,0
3,-1.2364778603818776,4,3,-0.726700358066518,4,2,-1.7645135849361149,3,0,-0.7659772668958666,1,-0.7516416709837335,2,1,1.0270789116578083,2,-0.4282895663715403,0,0
3,-1.4024146328950464,4,4,-0.6122151490560007,0,3,-0.8701833340815202,2,0,-1.6724592395536968,0,0.5676451374361124,2,1,2.759083821704704,1,2.3348689263480744,0,0
1,-0.738667542842371,2,4,-0.9379486075100734,0,1,0.9184771676276684,3,2,-1.6724592395536968,0,-0.8395941248783899,0,1,-0.7049259983890862,1,-0.4282895663715403,0,0
1,-0.738667542842371,2,0,-0.4498800848862887,0,3,0.0241469167730741,2,0,1.0469866784197936,1,-0.4877843092997643,2,0,-0.7049259983890862,2,2.3348689263480744,1,0
0,0.2569530922366421,2,0,-0.0525490653791989,0,1,0.9184771676276684,1,0,-1.6724592395536968,1,-0.7516416709837335,2,1,-0.7049259983890862,2,-0.4282895663715403,0,0
3,-0.4897623840726178,2,3,-0.1996430645722785,0,1,-0.8701833340815202,2,0,0.1405047057619635,1,-0.7516416709837335,0,1,1.0270789116578083,1,-0.4282895663715403,0,0
3,-0.738667542842371,4,7,0.1041149048457195,4,1,-0.8701833340815202,2,0,-1.6724592395536968,1,0.1278828679628304,2,1,1.0270789116578083,1,2.3348689263480744,0,0
2,-0.738667542842371,4,0,-0.6348995248351744,2,0,-0.8701833340815202,2,0,1.0469866784197936,3,2.678504030907866,0,2,2.759083821704704,0,-0.4282895663715403,0,0
3,-0.4897623840726178,4,4,-0.6774327294211251,0,2,0.9184771676276684,2,0,-0.7659772668958666,1,-0.3998318554051079,2,1,1.0270789116578083,2,-0.4282895663715403,0,0
1,-0.738667542842371,2,4,-0.7490302904741422,2,2,0.0241469167730741,0,0,-1.6724592395536968,2,-0.8395941248783899,2,1,-0.7049259983890862,2,-0.4282895663715403,1,0
1,-0.738667542842371,2,4,-0.7685246759093696,0,3,0.9184771676276684,2,2,0.1405047057619635,0,-0.5757367631944207,2,1,1.0270789116578083,2,-0.4282895663715403,0,1
0,0.2569530922366421,2,3,1.5771815570058132,4,1,-1.7645135849361149,1,0,-0.7659772668958666,1,-0.4877843092997643,2,1,-0.7049259983890862,2,-0.4282895663715403,1,1
0,-0.2408572253028645,2,5,-0.7281181315527164,0,2,0.9184771676276684,3,0,0.1405047057619635,0,1.0074074069093943,2,1,-0.7049259983890862,1,-0.4282895663715403,1,0
1,-0.738667542842371,2,4,1.1330640124541778,4,0,-0.8701833340815202,2,0,-1.6724592395536968,3,1.4471696763826765,2,1,-0.7049259983890862,3,-0.4282895663715403,1,0
1,0.2569530922366421,2,4,-0.4367656801389539,0,1,-1.7645135849361149,3,0,-1.6724592395536968,1,-1.1914039404570154,2,1,-0.7049259983890862,2,-0.4282895663715403,1,0
1,-0.0749204527896956,3,2,-0.2276440909246961,0,2,-0.8701833340815202,2,0,0.1405047057619635,2,-0.5757367631944207,0,1,1.0270789116578083,2,-0.4282895663715403,1,0
2,-0.4897623840726178,4,4,-0.7089781894890386,4,2,0.0241469167730741,2,0,1.0469866784197936,3,0.3037877757521432,2,2,1.0270789116578083,2,-0.4282895663715403,1,0
3,-0.738667542842371,2,4,-0.8745032440026969,0,4,0.9184771676276684,2,0,1.0469866784197936,2,0.2158353218574868,2,1,-0.7049259983890862,2,-0.4282895663715403,0,0
3,-0.90460431535554,4,3,-0.4261323789924662,4,2,-0.8701833340815202,3,0,-1.6724592395536968,2,-0.8395941248783899,2,1,1.0270789116578083,2,-0.4282895663715403,0,1
3,2.2481943623946683,3,4,1.4059854085473615,4,4,0.0241469167730741,2,0,0.1405047057619635,2,-0.3118794015104515,0,1,1.0270789116578083,2,2.3348689263480744,0,0
2,-0.2408572253028645,2,3,-0.0787778748738685,0,1,-1.7645135849361149,1,0,-1.6724592395536968,1,0.8315024991200816,1,1,-0.7049259983890862,1,-0.4282895663715403,0,0
1,-0.4897623840726178,2,0,-0.2269352041815969,1,2,-0.8701833340815202,1,0,1.0469866784197936,2,-0.6636892170890771,2,0,1.0270789116578083,2,-0.4282895663715403,1,0
1,0.7547634097761486,2,3,0.0601639267735704,1,2,-0.8701833340815202,1,1,1.0469866784197936,2,-1.279356394351672,2,0,-0.7049259983890862,2,-0.4282895663715403,0,0
3,0.2569530922366421,2,4,-0.3499270541093044,0,3,0.9184771676276684,2,0,-0.7659772668958666,2,-0.6636892170890771,2,1,-0.7049259983890862,2,-0.4282895663715403,1,0
0,-0.2408572253028645,4,3,-0.7876646179730474,0,1,0.9184771676276684,1,0,1.0469866784197936,1,-1.279356394351672,2,0,-0.7049259983890862,2,-0.4282895663715403,0,0
0,0.2569530922366421,2,3,0.3181987012616716,0,2,0.9184771676276684,2,0,1.0469866784197936,1,-0.6636892170890771,2,1,-0.7049259983890862,2,-0.4282895663715403,0,0
1,0.5058582510063954,3,1,0.9547789965647342,0,4,-1.7645135849361149,2,0,-0.7659772668958666,2,-0.4877843092997643,2,1,1.0270789116578083,3,-0.4282895663715403,1,0
1,-0.4897623840726178,1,0,1.2684613803861209,1,0,-1.7645135849361149,2,0,-0.7659772668958666,1,-0.1359744937211387,2,1,-0.7049259983890862,3,2.3348689263480744,1,0
0,-1.2364778603818776,4,0,-0.6770782860495755,0,1,-0.8701833340815202,2,0,1.0469866784197936,0,0.3917402296467996,2,1,-0.7049259983890862,1,2.3348689263480744,0,1
3,-0.2408572253028645,4,3,-0.5154521086229628,0,2,0.9184771676276684,1,0,-0.7659772668958666,3,-0.6636892170890771,2,1,1.0270789116578083,2,-0.4282895663715403,0,0
3,0.2569530922366421,4,0,-0.4718555739223632,3,4,0.9184771676276684,2,0,1.0469866784197936,0,2.150789307539928,2,1,-0.7049259983890862,2,-0.4282895663715403,1,0
3,-0.90460431535554,4,0,-0.7231559243510222,0,4,0.0241469167730741,2,0,1.0469866784197936,0,-0.3118794015104515,2,1,1.0270789116578083,1,2.3348689263480744,0,1
3,-1.2364778603818776,4,4,-0.6086707153405048,0,3,-1.7645135849361149,1,0,-0.7659772668958666,2,-1.0154990326677027,2,0,1.0270789116578083,2,-0.4282895663715403,1,0
3,-0.2408572253028645,4,4,-0.9365308340238748,2,4,0.9184771676276684,2,0,0.1405047057619635,1,-0.3118794015104515,0,1,1.0270789116578083,3,-0.4282895663715403,1,0
3,-0.4897623840726178,3,4,-0.6356084115782735,0,2,0.9184771676276684,3,0,0.1405047057619635,0,-0.2239269476157951,0,1,1.0270789116578083,2,-0.4282895663715403,0,0
0,1.999289203624915,0,9,3.028627163501382,0,4,-0.8701833340815202,2,0,1.0469866784197936,2,-0.5757367631944207,2,0,1.0270789116578083,2,-0.4282895663715403,0,0
0,-1.2364778603818776,2,0,-0.7330803387544107,1,4,0.0241469167730741,2,0,-0.7659772668958666,1,0.6555975913307688,2,1,-0.7049259983890862,2,-0.4282895663715403,1,0
1,-1.1535094741252931,2,4,-0.2464295896168243,0,2,-0.8701833340815202,2,2,-0.7659772668958666,0,-0.0480220398264823,2,1,-0.7049259983890862,2,-0.4282895663715403,0,0
1,0.2569530922366421,2,1,3.2990674559937188,0,4,0.9184771676276684,1,0,-0.7659772668958666,3,0.7435500452254252,2,2,-0.7049259983890862,3,-0.4282895663715403,1,0
3,0.7547634097761486,4,1,1.5328761355621146,4,4,-1.7645135849361149,2,0,1.0469866784197936,2,2.4146466692238966,2,1,1.0270789116578083,2,-0.4282895663715403,0,0
3,-0.4897623840726178,3,3,-0.8192100780409609,3,3,0.0241469167730741,1,0,-0.7659772668958666,1,-0.4877843092997643,2,1,1.0270789116578083,2,-0.4282895663715403,0,0
1,2.2481943623946683,2,4,0.2508544606672496,4,3,0.9184771676276684,2,0,-1.6724592395536968,2,0.479692683541456,2,1,1.0270789116578083,2,2.3348689263480744,1,0
3,0.2569530922366421,4,6,-0.4300312560795117,0,2,0.9184771676276684,0,0,-0.7659772668958666,0,-0.2239269476157951,2,1,1.0270789116578083,2,-0.4282895663715403,1,0
0,-0.2408572253028645,2,3,0.1342425914274346,0,1,-1.7645135849361149,1,0,1.0469866784197936,2,-1.1914039404570154,2,0,-0.7049259983890862,2,-0.4282895663715403,0,0
0,0.2569530922366421,2,2,-0.5374275976590372,0,4,0.9184771676276684,1,2,1.0469866784197936,0,1.9748843997506147,2,1,-0.7049259983890862,1,-0.4282895663715403,1,0
1,-0.4897623840726178,4,4,-0.6146962526568478,4,4,0.9184771676276684,2,2,1.0469866784197936,0,1.2712647685933636,2,1,1.0270789116578083,2,-0.4282895663715403,1,0
3,-0.738667542842371,2,4,-0.6302917610050297,0,1,0.9184771676276684,1,0,0.1405047057619635,2,-0.1359744937211387,2,1,-0.7049259983890862,2,2.3348689263480744,0,0
1,2.2481943623946683,1,0,3.153745673658387,4,0,0.9184771676276684,2,1,1.0469866784197936,3,0.039930414068174,2,2,-0.7049259983890862,3,-0.4282895663715403,1,0
0,2.165225976138084,2,0,2.6408661150261312,0,1,-1.7645135849361149,1,0,-1.6724592395536968,0,-0.0480220398264823,2,1,-0.7049259983890862,1,-0.4282895663715403,1,0
1,-0.2408572253028645,2,7,-0.7203203773786254,4,2,0.9184771676276684,2,0,1.0469866784197936,3,2.238741761434584,2,2,-0.7049259983890862,2,-0.4282895663715403,0,0
3,-0.90460431535554,2,7,-0.9017953836120152,2,4,0.9184771676276684,2,0,1.0469866784197936,3,0.919454953014738,2,2,-0.7049259983890862,2,-0.4282895663715403,1,0
0,-0.8216359290989554,4,0,0.2246256511725799,0,2,-0.8701833340815202,2,0,-0.7659772668958666,0,0.039930414068174,2,0,1.0270789116578083,2,2.3348689263480744,0,0
3,-1.2364778603818776,2,3,0.4748626714865901,0,1,-1.7645135849361149,1,0,1.0469866784197936,1,-0.3118794015104515,2,1,-0.7049259983890862,2,-0.4282895663715403,0,0
1,-0.738667542842371,2,4,-0.6040629515103602,0,2,-1.7645135849361149,1,0,-1.6724592395536968,2,-1.1914039404570154,2,1,-0.7049259983890862,2,-0.4282895663715403,1,0
0,0.0080479334668887,1,0,-0.575707481786393,4,2,0.9184771676276684,2,0,-0.7659772668958666,1,0.3917402296467996,2,1,1.0270789116578083,1,2.3348689263480744,0,0
0,1.2525737273156552,2,3,0.0619361436313184,0,4,0.9184771676276684,2,0,-0.7659772668958666,2,0.5676451374361124,2,1,-0.7049259983890862,2,2.3348689263480744,0,0
3,0.2569530922366421,2,1,2.1286954431369742,4,2,-0.8701833340815202,0,0,1.0469866784197936,3,1.095359860804051,2,2,-0.7049259983890862,2,-0.4282895663715403,1,0
1,2.2481943623946683,0,9,3.166151191662623,4,2,-0.8701833340815202,2,0,-0.7659772668958666,2,1.095359860804051,0,1,-0.7049259983890862,3,-0.4282895663715403,1,0
3,0.2569530922366421,3,9,-0.1039433542538894,4,2,0.9184771676276684,2,0,1.0469866784197936,0,-0.3118794015104515,2,1,1.0270789116578083,2,2.3348689263480744,1,0
3,0.2569530922366421,2,1,0.7662151229003527,4,0,-0.8701833340815202,1,0,1.0469866784197936,1,-0.8395941248783899,2,0,-0.7049259983890862,3,-0.4282895663715403,1,0
1,-0.4897623840726178,2,6,-0.6228484502024884,1,2,0.9184771676276684,2,2,-0.7659772668958666,0,-1.1914039404570154,2,1,-0.7049259983890862,2,-0.4282895663715403,0,0
1,1.2525737273156552,3,0,1.7065533876214134,1,4,-0.8701833340815202,2,0,1.0469866784197936,2,0.5676451374361124,2,1,4.491088731751598,3,-0.4282895663715403,1,0
0,0.2569530922366421,3,0,-0.6870027004529641,0,0,0.9184771676276684,2,0,-0.7659772668958666,0,0.6555975913307688,2,2,1.0270789116578083,2,2.3348689263480744,0,0
3,-0.9875727016121244,2,3,-0.6675083150177367,0,2,0.9184771676276684,1,0,-0.7659772668958666,0,-0.8395941248783899,2,0,-0.7049259983890862,2,-0.4282895663715403,0,0
3,-0.9875727016121244,2,3,-0.4576778390603797,0,1,-0.8701833340815202,1,1,-0.7659772668958666,2,-1.4552613021409846,2,0,1.0270789116578083,2,-0.4282895663715403,0,0
0,-0.738667542842371,2,3,-0.2460751462452748,0,2,-0.8701833340815202,0,0,-1.6724592395536968,2,0.5676451374361124,2,1,-0.7049259983890862,2,-0.4282895663715403,0,0
3,0.2569530922366421,4,2,1.078479733235541,0,0,0.9184771676276684,2,1,-0.7659772668958666,3,-0.7516416709837335,0,1,1.0270789116578083,3,-0.4282895663715403,1,0
3,-1.2364778603818776,4,0,-0.4222335019054207,2,2,-1.7645135849361149,3,0,-0.7659772668958666,2,-1.0154990326677027,2,1,-0.7049259983890862,2,-0.4282895663715403,0,0
0,-0.2408572253028645,2,3,-0.4367656801389539,0,2,-1.7645135849361149,1,0,1.0469866784197936,0,-1.3673088482463285,0,0,-0.7049259983890862,2,-0.4282895663715403,0,0
3,-0.4897623840726178,2,5,-0.8496922079942256,4,1,0.9184771676276684,1,0,-1.6724592395536968,0,-1.0154990326677027,2,1,-0.7049259983890862,2,-0.4282895663715403,0,0
0,-1.2364778603818776,4,4,-0.4658300366060202,0,3,-1.7645135849361149,1,0,1.0469866784197936,2,-0.3998318554051079,2,1,-0.7049259983890862,2,-0.4282895663715403,0,0
1,-0.90460431535554,2,0,1.4307964445558328,0,0,-0.8701833340815202,2,0,1.0469866784197936,3,3.030313846486492,0,2,-0.7049259983890862,3,-0.4282895663715403,1,0
2,0.2569530922366421,2,3,-0.4771722244956071,0,2,-0.8701833340815202,2,0,-0.7659772668958666,0,-0.8395941248783899,2,1,-0.7049259983890862,2,-0.4282895663715403,0,0
1,0.2569530922366421,2,0,-0.6792049462788731,0,1,0.0241469167730741,1,0,1.0469866784197936,2,-0.9275465787730462,2,1,-0.7049259983890862,1,-0.4282895663715403,1,0
0,-0.738667542842371,2,7,-0.8776932343466431,0,1,0.9184771676276684,1,0,1.0469866784197936,1,1.5351221302773328,2,1,-0.7049259983890862,2,-0.4282895663715403,0,0
2,0.7547634097761486,4,4,-0.0901200627634554,0,4,0.9184771676276684,2,0,1.0469866784197936,1,1.0074074069093943,2,1,-0.7049259983890862,2,-0.4282895663715403,0,0
0,2.2481943623946683,1,9,1.564421595630028,0,3,-0.8701833340815202,1,2,1.0469866784197936,2,0.1278828679628304,2,0,-0.7049259983890862,2,-0.4282895663715403,0,0
3,-0.738667542842371,4,9,-0.3470915071369078,0,0,0.9184771676276684,2,0,-0.7659772668958666,2,0.5676451374361124,1,1,1.0270789116578083,3,-0.4282895663715403,1,0
0,1.2525737273156552,2,7,-0.4587411691750284,4,4,0.9184771676276684,2,0,1.0469866784197936,3,0.3917402296467996,2,1,-0.7049259983890862,3,-0.4282895663715403,1,0
3,1.2525737273156552,4,0,1.624676968793458,0,2,0.9184771676276684,1,0,-0.7659772668958666,0,-0.9275465787730462,1,1,1.0270789116578083,2,-0.4282895663715403,1,0
3,-0.2408572253028645,4,0,-0.175895358678456,0,3,-0.8701833340815202,2,0,-0.7659772668958666,1,-0.3998318554051079,0,1,1.0270789116578083,2,-0.4282895663715403,0,0
1,0.0080479334668887,3,0,-0.3254704614723828,0,2,-1.7645135849361149,0,0,1.0469866784197936,1,1.0074074069093943,2,1,1.0270789116578083,2,-0.4282895663715403,0,0
3,-0.2408572253028645,2,0,-0.514388778508314,0,2,-0.8701833340815202,3,0,-0.7659772668958666,1,-0.4877843092997643,2,1,-0.7049259983890862,3,-0.4282895663715403,1,0
3,-0.738667542842371,2,1,-0.2928616712898206,4,1,-0.8701833340815202,3,0,1.0469866784197936,2,-0.8395941248783899,2,0,-0.7049259983890862,2,-0.4282895663715403,1,0
0,-0.738667542842371,2,4,-0.5640108505252565,2,4,0.0241469167730741,3,0,-1.6724592395536968,0,-0.0480220398264823,2,1,-0.7049259983890862,2,-0.4282895663715403,0,0
0,-0.2408572253028645,3,7,1.8430140856680053,4,2,-1.7645135849361149,1,0,-0.7659772668958666,2,-1.103451486562359,2,0,1.0270789116578083,2,-0.4282895663715403,1,0
1,0.4228898647498109,2,1,1.6640201830354626,0,1,-0.8701833340815202,2,0,0.1405047057619635,2,-0.4877843092997643,2,1,1.0270789116578083,2,-0.4282895663715403,0,0
0,-0.738667542842371,2,1,0.040669541338343,0,4,0.0241469167730741,2,0,1.0469866784197936,3,-0.0480220398264823,2,2,-0.7049259983890862,2,-0.4282895663715403,1,0
2,-0.738667542842371,4,0,-0.8266533888435023,2,3,0.9184771676276684,3,0,-0.7659772668958666,0,-0.6636892170890771,2,1,2.759083821704704,2,-0.4282895663715403,1,0
3,-0.738667542842371,4,4,-0.8769843476035439,4,4,0.9184771676276684,1,0,0.1405047057619635,1,-0.2239269476157951,0,1,-0.7049259983890862,1,2.3348689263480744,0,0
0,0.2569530922366421,2,3,-0.540263144631434,0,1,0.9184771676276684,2,1,-1.6724592395536968,1,-1.0154990326677027,2,1,-0.7049259983890862,1,-0.4282895663715403,0,1
0,-0.738667542842371,0,6,-0.7667524590516217,0,3,0.9184771676276684,2,0,0.1405047057619635,0,-0.6636892170890771,2,1,1.0270789116578083,2,-0.4282895663715403,0,0
1,-0.6556991565857866,2,4,-0.4147901911028793,0,1,-0.8701833340815202,1,2,1.0469866784197936,1,-1.103451486562359,2,1,-0.7049259983890862,1,-0.4282895663715403,0,0
0,0.2569530922366421,2,1,1.172407226696182,0,0,0.9184771676276684,2,0,-0.7659772668958666,3,-0.5757367631944207,2,2,-0.7049259983890862,3,-0.4282895663715403,1,0
3,2.2481943623946683,3,4,3.359322829157149,2,3,0.9184771676276684,2,0,-1.6724592395536968,2,0.1278828679628304,2,1,-0.7049259983890862,3,-0.4282895663715403,1,0
3,-0.738667542842371,4,4,-0.9744562747796812,2,4,0.9184771676276684,2,0,1.0469866784197936,1,0.5676451374361124,2,1,1.0270789116578083,2,2.3348689263480744,1,0
0,0.2569530922366421,1,3,-0.1571098599863278,2,2,0.9184771676276684,2,0,1.0469866784197936,0,-1.1914039404570154,1,1,-0.7049259983890862,2,-0.4282895663715403,1,0
1,0.2569530922366421,2,0,-0.1960986308567826,0,2,0.0241469167730741,1,0,1.0469866784197936,1,-1.3673088482463285,2,0,-0.7049259983890862,1,-0.4282895663715403,1,0
2,-0.90460431535554,2,0,-0.7199659340070759,1,4,-1.7645135849361149,1,0,1.0469866784197936,3,1.095359860804051,2,2,-0.7049259983890862,1,2.3348689263480744,0,0
1,-0.738667542842371,2,0,-0.6923193510262079,3,4,0.9184771676276684,2,0,1.0469866784197936,0,1.6230745841719891,2,1,-0.7049259983890862,2,-0.4282895663715403,1,0
0,2.2481943623946683,2,9,0.3674663299070645,0,1,0.0241469167730741,1,0,1.0469866784197936,1,-1.0154990326677027,2,0,-0.7049259983890862,2,-0.4282895663715403,0,0
0,-0.738667542842371,2,3,-0.2457207028737252,0,0,0.0241469167730741,1,0,1.0469866784197936,3,1.7110270380666457,2,2,-0.7049259983890862,3,-0.4282895663715403,0,0
3,0.2569530922366421,2,4,-0.694800454627055,1,3,0.9184771676276684,3,0,0.1405047057619635,1,-0.8395941248783899,2,1,-0.7049259983890862,2,-0.4282895663715403,1,0
0,0.7547634097761486,4,1,1.033465425048743,1,3,-1.7645135849361149,3,0,1.0469866784197936,2,-1.0154990326677027,2,0,1.0270789116578083,2,-0.4282895663715403,0,0
1,-0.2408572253028645,3,6,1.039490962365086,0,2,-0.8701833340815202,2,0,1.0469866784197936,0,0.7435500452254252,2,1,-0.7049259983890862,1,2.3348689263480744,1,0
1,-1.2364778603818776,2,4,-0.7809301939136052,0,4,0.9184771676276684,2,0,1.0469866784197936,2,-0.6636892170890771,2,1,-0.7049259983890862,2,2.3348689263480744,0,0
1,-0.8216359290989554,2,3,-0.6005185177948642,3,1,0.9184771676276684,1,0,-1.6724592395536968,0,-1.3673088482463285,2,1,-0.7049259983890862,2,-0.4282895663715403,0,0
3,0.2569530922366421,4,3,-0.5976829708224675,0,3,0.9184771676276684,2,0,0.1405047057619635,1,0.3917402296467996,2,1,1.0270789116578083,2,-0.4282895663715403,0,0
0,-0.2408572253028645,1,4,-0.4718555739223632,0,1,0.0241469167730741,2,1,1.0469866784197936,3,0.039930414068174,0,2,-0.7049259983890862,3,-0.4282895663715403,1,0
1,0.2569530922366421,0,9,0.343718624013242,0,2,-1.7645135849361149,2,0,1.0469866784197936,0,0.039930414068174,2,1,2.759083821704704,1,-0.4282895663715403,1,0
2,-1.2364778603818776,4,0,-0.69905377508565,0,2,-1.7645135849361149,2,0,-1.6724592395536968,0,3.382123662065117,2,1,2.759083821704704,0,2.3348689263480744,0,1
3,0.2569530922366421,2,0,-0.6387984019222199,1,4,0.9184771676276684,3,0,1.0469866784197936,0,0.479692683541456,2,0,-0.7049259983890862,1,-0.4282895663715403,0,0
3,0.5888266372629798,4,4,-0.1872375465680429,0,4,0.9184771676276684,2,0,-0.7659772668958666,2,-0.5757367631944207,2,1,1.0270789116578083,2,-0.4282895663715403,0,0
3,-0.738667542842371,2,4,-0.4637033763767227,0,3,0.9184771676276684,2,0,-0.7659772668958666,2,-0.3998318554051079,2,0,1.0270789116578083,3,2.3348689263480744,1,0
1,2.2481943623946683,4,3,0.646767706688141,0,2,-0.8701833340815202,1,0,0.1405047057619635,2,-0.4877843092997643,2,1,-0.7049259983890862,3,-0.4282895663715403,1,0
